model,experiment_group,experiment_description,model_intro_cn,task_type,regression_task,classification_task,threshold_selection,MAE,RMSE,MAPE,R2,threshold,Precision,Recall,F1,ROC_AUC,PR_AUC,LogLoss,Brier,ECE,CalibrationSlope,CalibrationIntercept
B6_combo_B1_B2_B3,Combined legacy ablation,"Combines seasonal residual learning, long-window MLP compression and the reduced HMM feature design.",组合消融模型：同时采用季节残差、长期MLP压缩和精简HMM特征。,多步碳强度预测 + 高碳风险分类,True,True,validation_exact_max_F1,22.464265823364258,29.068768225241545,4.648001670837402,0.7703117728233337,0.5946801900863647,0.5086655112651647,0.4262890341321714,0.4638482813117345,0.8572957486047192,0.4769169190691753,0.39331566209050384,0.12187844214307574,0.13623212131033952,1.3517741173230982,-0.8769263581988804
B1_HMM_aux_no_gate,HMM auxiliary experiment,"B1 residual structure with causal HMM posterior and state features as ordinary inputs, without the HMM gate or state-conditioned attention.",简化HMM辅助模型：将HMM概率与状态统计作为输入，但不使用复杂门控和状态注意力。,多步碳强度预测 + 高碳风险分类,True,True,validation_exact_max_F1,21.827606201171875,28.20370714426895,4.52356481552124,0.783778965473175,0.6255002617835999,0.4972244250594766,0.4553376906318083,0.47536012130401817,0.8577094455794101,0.48478877070625404,0.4489134033298627,0.14396325541075294,0.19559438371906301,1.5085358409171539,-1.2993522986330126
B5_LightGBM_deep_residual,Hybrid experiment,LightGBM base forecast plus an HMM-guided deep network trained to predict its regression residual; classification probabilities are blended.,树模型与深度残差融合：LightGBM提供基础预测，HMM辅助深度网络学习其回归残差并融合分类概率。,多步碳强度预测 + 高碳风险分类,True,True,validation_exact_max_F1,30.426347732543945,40.576535093515716,6.735872268676758,0.5524563193321228,0.5241313767364262,0.492973580663294,0.6368917937545389,0.555766793409379,0.8769991146460644,0.5218656872257211,0.35959884247575324,0.11336777605571628,0.11455512053462255,1.1593265299373985,-0.9258017341200434
B5_LightGBM_deep_residual_optimized,Hybrid experiment,B5 regression correction multiplied by the residual shrinkage coefficient selected on validation data.,B5残差收缩版本：验证集选择残差缩放系数，避免深度修正破坏LightGBM回归结果。,多步碳强度预测 + 高碳风险分类,True,True,validation_exact_max_F1,30.426349117851696,40.57653466184765,6.735872225193636,0.5524563064679159,0.5241313767364262,0.492973580663294,0.6368917937545389,0.555766793409379,0.8769991146460644,0.5218656872257211,0.35959884247575324,0.11336777605571628,0.11455512053462255,1.1593265299373985,-0.9258017341200434
B1_seasonal_residual,Legacy ablation,B0 structure trained to correct a 24-hour seasonal-naive forecast through a learned residual.,季节残差模型：以季节朴素预测为基础，仅学习未来24小时碳强度修正量并联合分类。,多步碳强度预测 + 高碳风险分类,True,True,validation_exact_max_F1,22.238191604614258,28.65847247209093,4.608684062957764,0.7767499685287476,0.5311939120292664,0.4522079373951928,0.5875090777051561,0.511054958938724,0.8453545777887638,0.4793667664298993,0.4340500591844297,0.13767759196050536,0.17591383212398923,1.3474723849349783,-1.1646739017472985
B2_long_mlp_compression,Legacy ablation,Replaces the 168-hour recurrent branch with an MLP-compressed long-window representation while retaining HMM guidance.,长期压缩消融：用MLP压缩168小时静态信息，替代长期循环分支。,多步碳强度预测 + 高碳风险分类,True,True,validation_exact_max_F1,40.95244598388672,53.68167668869309,9.055699348449707,0.2166827917098999,0.5043500661849976,0.4681848626925653,0.5076252723311547,0.4871080139372822,0.8628135594863331,0.48222282451982923,0.37339855302387015,0.11589997873381849,0.11697894477670516,1.4321456799051173,-0.6974950293431946
B3_reduced_HMM_features,Legacy ablation,Multi-scale HMM-MRGA-LSTM using the reduced causal HMM feature set.,精简HMM特征消融：保留多尺度LSTM，只使用缩减后的因果HMM特征。,多步碳强度预测 + 高碳风险分类,True,True,validation_exact_max_F1,40.25388717651367,53.59137430959039,9.005348205566406,0.21931594610214233,0.5641928911209106,0.49336283185840707,0.485838779956427,0.48957189901207465,0.8646893829422346,0.49742461597539855,0.35482611096065975,0.11272222955476473,0.10116205557033967,1.206827121300373,-0.7629211100247515
B0_original_HMM_MRGA_LSTM,Legacy deep model,"Original HMM-MRGA-LSTM with 24h/168h multi-scale inputs, HMM gate, state-conditioned attention and residual head.",原始HMM-MRGA-LSTM：融合24/168小时输入、HMM门控、状态条件注意力和残差预测头。,多步碳强度预测 + 高碳风险分类,True,True,validation_exact_max_F1,41.16896057128906,53.908274418508796,9.161396026611328,0.21005582809448242,0.4797263443470001,0.4840720221606648,0.5076252723311547,0.4955689471818504,0.8624789768830533,0.5143252595607449,0.35483085106471873,0.1090863979734976,0.09190305217331926,1.293089271666059,-0.5632253701334665
LGBM-LR-LSTM,Logit residual classification,LightGBM 提供基线 logit，多尺度 HMM 辅助 LSTM 只学习样本外基线遗漏的 delta_logit。,对数几率残差分类模型：LightGBM给出基线logit，多尺度HMM辅助LSTM只学习delta_logit修正。,高碳风险分类,False,True,validation_exact_max_F1,,,,,0.7048765420913696,0.4745387453874539,0.46695715323166304,0.4707174231332357,0.8561447783909015,0.4550381731283973,0.39169967310575043,0.1339418081159737,0.11427911407355976,0.7513992182332832,-1.0914373827409283
LGBM-LR-LSTM + Platt,Logit residual classification,对 LGBM-LR-LSTM 的最终概率再用独立验证集进行 Platt 校准。,残差分类后校准模型：对LGBM-LR-LSTM输出再做Platt校准，提高风险概率可信度。,高碳风险分类,False,True,validation_exact_max_F1,,,,,0.36100967995380095,0.4745387453874539,0.46695715323166304,0.4707174231332357,0.8561447783909015,0.4550381731283973,0.3340998498127841,0.10728179577704346,0.04437462295315652,0.7156067589704759,-0.028698829907299075
